4-Aminobutansäure	 gamma-aminobutyric acid (GABA) 
Organell	 organelle (a membrane bound compartment found within cells)
Organelle	 organelle
Organisation	 organization
Organisationswut	 strong dedication to organizing
Organisator	 organizer
Organismus	 organism
Organist	 organist
Organistin	 (female) organist
Organizismus	 organicism
Organofluorverbindung	 organofluorine compound
Organolithium-Verbindung	 organolithium compound
Orgasmus	 orgasm
Orgel	 organ (musical instrument)
Orgie	 orgy
Orientale	 man from the Middle East, Oriental
Orientalistik	 Oriental studies
Orientierung	 orientation
Orientierungsschwierigkeit	 disorientation
Oriflamme	 oriflamme
Origami	 origami (the Japanese art of paper folding)
Original	 original
Originalität	 originality
Ork	 orc (a monstrous humanoid creature, semi-intelligent and usually aggressive)
Orkan	 (European) windstorm
Ornithologe	 ornithologist
Ornithologie	 ornithology (scientific study of birds)
Ornithologin	 ornithologist
Ort	 place, location
Ort	 village
Orthodoxie	 orthodoxy
Orthografie	 orthography (study of correct spelling)
Orthographie	 spelling (arrangement of letters that form a word or part of a word)
Orthohelium	 orthohelium
Orthophosphat	 orthophosphate
Orthopädie	 orthopaedics
Ortolan	 ortolan (a small bird eaten as a delicacy)
Ortschaft	 village, small town
Ortschaft	 place
Ortsname	 placename
Ortsteil	 district (of a town)
Ortstein	 hardpan
Ortstein	 boundary stone, cornerstone
Os	 os (medical term for bone)
Oskisch	 Oscan (the Oscan language)
Osmium	 osmium
Osmoregulation	 osmoregulation
Osmose	 osmosis
Osseointegration	 osseointegration
Ossetisch	 Ossetian (the Ossetic language)
Ost	 the east
Ostarmenisch	 Eastern Armenian (the Eastern Armenian language)
Osten	 East
Osteopathie	 osteopathy
Osteopenie	 osteopenia
Osteoporose	 osteoporosis
Osterei	 Easter egg
Ostereiersuche	 Easter egg hunt
Osterhase	 Easter Bunny
Ostermontag	 Easter Monday
Ostern	 Easter
Osteroktav	 ''(Catholicism)'' Octave of Easter (8 days form Easter Sunday)
Ostersonntag	 Easter Sunday
Ostfriese	 East Frisian, male person from East Frisia
Ostfriese	 a breed of horse
Oszillation	 oscillation (the act of oscillating)
Oszilloskop	 oscilloscope (electronic measuring instrument)
Otoskopie	 otoscopy
Otter	 otter
Otter	 adder
Otter	 viper
Otterzivette	 otter civet (''Cynogale bennettii'')
Ottomotor	 four-stroke engine (that uses the Otto cycle)
Outsourcing	 outsourcing (transfer business)
Ouzo	 ouzo
Ovar	 ovary (female organ)
Oxidationsschutz	 antioxidant
Oxidationszustand	 oxidation state
Oxidierbarkeit	 oxidizability
Oxidion	 oxide ion
Oxidschicht	 oxide coating / layer
Oxygenierung	 oxygenation
Oxymoron	 oxymoron (figure of speech)
Ozean	 ocean
Ozeanbodenspreizung	 seafloor spreading
Ozelot	 ocelot
Ozon	 ozone
Ozonabbau	 ozone depletion (depletion of the ozone layer)
Ozonid	 ozonide
Ozonidanion	 ozonide anion
Ozonloch	 ozone hole
Ozonschicht	 ozone layer
PKK	 Partiya Karkerên Kurdistan, Kurdistan Workers Party
PKW	 passenger car (abbreviation of Personenkraftwagen)
PM	 Pressemitteilung
PM	 Papiermaschine
PPS	 de|Produktionsplanung und -steuerung
PPS	 Produktions-Planungs-System (ERP)
Paar	 pair, couple.
Paare	 pairs, couples
Pacht	 lease
Pack	 A bundle, something packaged, an unwieldy bag or sack, a bunch, bulky item, or tight (e.g. wrapped and/or laced) collection thereof, usually used in transportation, handling and storage.
Pack	 Collective term for the forwards in rugby
Packeis	 pack ice
Packen	 pack, bunch, bundle, stack
Packgas	 An inert gas used in food packaging
Packtasche	 pannier
Packung	 package
Paganismus	 paganism
Page	 pageEnglish|page, page boy
Pak.	 Panzerabwehrkanone
Paket	 a packet or package; the word is used almost exclusively for a package sent per post.
Paketbombe	 parcel bomb
Pakistaner	 Pakistani (A male person from Pakistan or of Pakistani descent)
Pakistanerin	 Pakistani (A female person from Pakistan or of Pakistani descent)
Pakt	 pact, agreement
Palais	 palace
Palast	 palace
Palatschinken	 thin, crêpe-like variety of pancake common in Central Europe.
Palette	 pallet
Palimpsest	 palimpsest
Palindrom	 palindrome
Palladium	 palladium
Palme	 palm tree
Palmsonntag	 Palm Sunday
Palmwedel	 palm frond, palm branch
Palmöl	 palm oil
Palynologie	 palynology (study of spores, pollen etc.)
Palästinenser	 a male Palestinian
Palästinenserin	 a female Palestinian
Pampa	 pampa
Pampas	 pampas, pampa
Pampelmuse	 pomelo
Panade	 breading
Panazee	 panacea
Panchromium	 panchromium
Panda	 panda (''Ailuropoda melanoleuca'')
Pandabär	 panda bear
Pandeismen	 Plural form of Pandeismus.
Pandeismus	 pandeism
Pandeisten	 pandeists
Pandeistin	 pandeist
Pandeistinnen	 pandeists
Pandemie	 pandemic (pandemic disease)
Pandorabüchse	 Pandora's box
Panel	 panel
Panel	 Single image in a comics.
Panendeismus	 panendeism
Panendeisten	panendeists
Panendeistin	 panendeist
Panendeistinnen	 panendeists
Panentheismus	 panentheism
Panentheist	 panentheist
Panentheisten	panentheists
Panentheistin	 panentheist
Panentheistinnen	 panentheists
Panflöte	 pan flute
Panik	 panic
Panikattacke	 panic attack
Pankreas	 pancreas
Panne	 breakdown
Panoptikum	 wax museum|Wax museum, waxworks.
Panorama	 panorama
Pansen	 rumen, fardingbag, paunch
Pansexualität	 pansexuality
Panter	 panther
Pantheismus	 pantheism
Pantheist	 pantheist
Pantheisten	pantheists
Pantheistin	 pantheist
Pantheistinnen	 pantheists
Panther	 panther
Pantherpilz	 panther cap, Amanita pantherina
Pantoffel	 slipper (indoor shoe)
Pantoffelheld	 a henpecked guy
Pantoffeltierchen	 a unicellular ciliate protozoan of the Paramecium genus
Pantomime	 pantomime (type of entertainment where players act out ideas without use of their voice)
Panzer	 armor, shield
Panzerabwehrkanone	 An antitank gun.
Panzerschrank	 safe, vault
Panzerung	 armour
Papa	 dad, daddy
Papagei	 parrot
Paparazzo	 paparazzo (freelance photographer of celebrities)
Papaya	 papaya, Carica papaya (fruit)
Papier	 paper, a material used for write|writing or printing on, made from cellulose pulp rolled into thin sheets.
Papiere	 (coll.) official documents; driver's license
Papierflieger	paper airplane (''US''), paper aeroplane (''British''), paper plane
Papierherstellung	 papermaking
Papierindustrie	 paper industry
Papierkorb	 wastepaper basket
Papierkorb	 trash can
Papierschneider	 paper cutter
Papiertaschentuch	 tissue handkerchief, tissue
Papiertiger	 paper tiger
Pappe	 paperboard
Pappel	 poplar, cottonwood
Pappmaschee	 papier-mâché
Paprika	 paprika, bell pepper
Papstwappen	 papal coats of arms
Papyrus	 papyrus (a plant in the sedge family)
Papyrus	 papyrus (a material similar to paper made from the papyrus plant)
Papyrus	 papyrus (a scroll or document written on papyrus)
Parade	 parade (intentional, planned march)
Paradeiser	 tomato
Paradiddle	 paradiddle
Paradies	 paradise
Paradiesapfel	 tomato
Paradigma	 paradigm
Paradigmenwechsel	 paradigm shift
Paradox	 paradox
Paradoxon	 paradox
Paraffinöl	 paraffin (fuel), kerosene
Paragraphenreiter	 legalist
Paragraphenzeichen	 section sign
Paraguayer	 Paraguayan (male person from Paraguay)
Paraguayerin	 Paraguayan (female person from Paraguay)
Parahelium	 parahelium
Paralipse	 paralipsis
Parallelogramm	 parallelogram
Paralyse	 paralysis (loss of muscle control)
Parament	 parament
Paranuss	 brazil nut
Paraphrase	 paraphrase (restatement of a text in different words)
Paraphrase	 artistic variation of a melody
Parapsychologie	 parapsychology
Parasit	 parasite
Parasitismus	 parasitism
Parasitologie	 parasitology
Parasol	 parasol mushroom
Pardelkatze	 a cat of the genus Leopardus
Pardon	 pardon
Parfümerie	 perfumery
Pariser	 (colloq.) condom
Park	 park
Parka	 a parka
Parkhaus	 parking garage, multi-storey car park
Parkplatz	 parking lot, car park
Parkuhr	 parking meter
Parlamentarier	 parliamentarian (male member of parliament)
Parlamentarierin	 parliamentarian (female member of parliament)
Parlamentsgebäude	 legislative building
Parmesan	 parmesan
Parmesankäse	 parmesan
Parodie	 parody (expression making fun of something else)
Parodontologie	 periodontics
Paroxysmus	 paroxysm (random or sudden outburst)
Parsec	 parsec (parallax second)
Parterre	 ground floor, first floor
Partialdruck	 partial pressure
Partie	 match, game
Partie	 part, area
Partikelgröße	 particle size
Partisan	 partisan (male member of a body of detached light troops)
Partisane	 partisan (a spear with a triangular, double-edged blade)
Partisane	 partisan (member of a body of detached light troops)
Partisanin	 partisan (female member of a body of detached light troops)
Partitiv	 partitive case (noun case)
Partizip	 participle
Partizipation	 participation (act of participating)
Partner	 partner, associate
Partnerschaft	 partnership
Partylöwe	 party animal (person known for frequent, enthusiastic attendance at parties)
Parvenü	 parvenu
Pascal	 pascal (unit)
Pascha	 pasha (title)
Paso Doble	 paso doble (dance)
Paspelierung	 piping as an edge embellishment in sewing
Pass	 pass (''between mountains'')
Pass	 pass (''document granting permission to pass'')
Pass	 passport
Passage	 passageEnglish|Passage; a leg of a journey.
Passagier	 passenger
Passagierschiff	 passenger ship
Passant	 passer-by
Passepartout	 master key (a key that opens a set of several locks)
Passes	Genitive singular of ''Pass'' and ''Paß''.
Passionsfrucht	 passion fruit
Passivierung	 passivation (formation of a corrosion-inhibiting film)
Passivrauch	 second-hand smoke
Passivrauchen	 passive smoking, second-hand smoking
Passus	 passage (section of text or music)
Passwort	 password
Paste	 paste (a soft mixture)
Pastor	 pastor
Pastorin	 female pastor
Pate	 godfather
Patenkind	 godchild
Patentierung	 patenting
Pathologe	 pathologist
Pathologie	 pathology
Patin	 godmother
Patio	 patio
Patriarch	 patriarch
Patriotismus	 patriotism
Patrizier	 patrician (member of Roman aristocracy)
Patron	 patron
Patronage	 patronage
Patrone	 cartridge (ammunition for a gun)
Patrone	 ink cartridge (for a printer)
Patrouille	 patrol
Patt	 stalemate (chess term)
Patt	 stalemate (blocked situation)
Patzer	 blunder
Pauke	 timpani
Paukenröhrchen	 grommet (tympanostomy tube)
Pause	 pause, break
Pavian	 baboon (primate)
Pavillon	 pavilion
Pazifikinsel	 Pacific island
Pazifismus	 pacifism
Pebibyte	 pebibyte (2<sup>50</sup> bytes)
Peccary	 peccary, (Tayassuidae)
Pechblende	 pitchblende
Pechnelke	 campion
Pedal	 pedal
Pedant	 pedant
Pedelec	 pedelec (motorized bicycle)
Pediküre	 pedicure
Pein	 pain, torment
Peiniger	 tormentor
Peitsche	 whip
Peitschenriemen	 whiplash ''(lash of a whip)''
Pekannuss	 pecan (nut)
Pelikan	 pelican
Pelle	 skin, mostly with reference to sausages or vegetables, especially potatoes; peel
Peloton	 firing squad (a group of soldiers detailed to execute someone or to discharge weapons ceremonially)
Pelz	 fur (animal's pelt)
Pelz	 fur (coat or other clothing item made from fur)
Pelzmantel	 fur coat
Pelztier	 fur bearing animal
Pendant	 counterpart
Pendel	 pendulum
Pendeluhr	 pendulum clock
Pendler	 commuter
Penis	 penis
Penisneid	 penis envy
Pensionär	 pensioner
Pentagon	 the headquarters of the United States of America's Department of Defense.
Pentagon	 pentagon (a polygon with five sides and five angles)
Pentagramm	 pentagram, pentacle
Pepsin	 pepsin (digestive enzyme)
Perfektion	 perfection
Perfektionismus	 perfectionism
Perfektionist	 perfectionist
Pergament	 parchment (material)
Pergament	 parchment (document made on such material)
Periastron	 periastron
Periode	 period (length of time with start and end point)
Periode	 age (particular period of time in history)
Periode	 menstruation
Periodensystem	 periodic table
Perle	 pearl (concretion from oysters or imitation thereof)
Perlenmantel-Ameisenwürger	 spot-backed antshrike
Perlhuhn	 guineafowl, guinea fowl, guineahen
Perlmutt	 nacre (pearly substance on the interior of shells)
Perlmutter	 mother-of-pearl
Perlschulter-Ameisenwürger	 white-shouldered antshrike
Perm	 a city in Russia (Пермь)
Permafrostboden	 permafrost
Permanenz	 permanence (the state of being permanent)
Permeation	 permeation
Permutation	 permutation
Peroxisom	 peroxisome
Perpetuum mobile	 perpetual motion machine
Persenning	 tarpaulin
Person	 person
Persona non grata	 persona non grata
Personal	 staff, personnel, employees
Personalausweis	 identity card, ID card
Personalversammlung	 staff meeting
Personenfreizügigkeit	 The free movement of people across the borders of nation-states, especially regarding the free movement of labourers between different states with separate economic-legal environments.
Personenschützer	 bodyguard
Personifizierung	 personification
Perspektive	 perspective
Persönlichkeit	 personality
Persönlichkeit	 personage
Peruaner	 Peruvian (male person from Peru)
Peruanerin	 Peruvian (female person from Peru)
Perücke	 wig, peruke, hairpiece, toupee
Peso	 peso (currency)
Pessimismus	 pessimism
Pessimist	 pessimist
Pest	 plague
Pestizid	 pesticide
Petabyte	 petabyte (1,000,000,000,000,000 bytes)
Petersfisch	 John Dory, St Pierre, Zeus faber (fish)
Petersilie	 parsley, Petroselinum crispum
Petitesse	 bagatelle
Petition	 petition (formal, written request made to a parliament or an official person)
Petrischale	 Petri dish
Petroleum	 petroleum
Petroleum	 paraffin, kerosene
Petrologie	 petrology
Petschaft	 seal, stamp
Petting	 pettingEnglish|petting (kissing, stroking, etc., in a sexual manner)
Petunie	 petunia, Petunia
Pfad	 path
Pfadfinder	 lit. pathfinder, a scout (member of the w:scouting|Scout Movement)
Pfahl	 stake
Pfand	 pawn
Pfand	 pledge
Pfand	 can or bottle deposit
Pfandhaus	 pawn shop
Pfanne	 frying pan
Pfannenwender	 spatula (kitchen utensil)
Pfannkuchen	 a pancake
Pfau	 peacock
Pfeffer	 pepper
Pfefferkuchenmann	 gingerbread man
Pfeffermühle	 pepper mill
Pfeffernüsse	 Literally pepper nuts; a dessert served traditionally around Christmas time.
Pfefferspray	 pepper spray
Pfefferstreuer	 pepper shaker
Pfeife	 whistle
Pfeife	 pipe (for smoking)
Pfeifenreiniger	 pipe cleaner
Pfeil	 arrow
Pfeiler	 pillar
Pfeiltaste	arrow key
Pfennig	 pfennig
Pfennigfuchser	 penny pincher
Pferd	 horse
Pferdefleisch	 horsemeat
Pferdegeschirr	 harness
Pferdestall	 stable (for horses)
Pferdestärke	 horsepower (non-metric, approximately equal to 735.5 watts)
Pfiff	 a whistle (sound)
Pfifferling	 chanterelle
Pfingsten	 Pentecost
Pfingstmontag	 Whit Monday, Pentecost Monday
Pfirsich	 peach
Pfirsichbaum	 peachtree
Pfirsichstein	 peach pit
Pflanze	 plant
Pflanzen	 plants
Pflanzenfresser	 herbivore
Pflanzenkunde	 botany
Pflanzensaft	 sap (of a plant)
Pflanzenschutzmittel	 pesticide
Pflanzenöl	 vegetable oil
Pflaster	 plaster
Pflaster	 pavement
Pflaume	 plum
Pflaumenbaum	 plum tree
Pflaumensaft	 plum juice.
Pflege	 care
Pflegeheim	 care home, nursing home
Pflegekind	 foster child
Pfleger	 male person who cares for or nurses other humans or animals
Pflegling	 foster child
Pflicht	 duty
Pflichtlektüre	 required reading
Pflock	 peg
Pforte	 reception area (especially in a hospital)
Pfosten	 post
Pfote	 paw
Pfriem	 bodkin, awl
Pfropfen	 swab, plug
Pfuhlschnepfe	 bar-tailed godwit
Pfund	 half a kilo, 500 grams, pound (''approximately'')
Pfund	 pound (''currency unit'')
Pfurz	 fart
Pförtner	 porter, concierge, custodian, doorman
Pfütze	 puddle, shallow pool
Phagozyt	 phagocyte
Phallus	 phallus
Phallussymbol	 phallic symbol
Phantasmagorie	 phantasmagoria (a dreamlike state)
Pharao	 pharaoh
Pharisäer	 Pharisee (member of a politial party, social movement, or school of thought)
Pharmakologie	 pharmacology
Pharmakon	 medicine, drug
Phase	 phase
Phasendiagramm	 phase diagram
Phasenhub	 phase deviation
Pheromon	 pheromone
Phi	 phi (greek letter)
Philanthrop	 philanthropist
Philanthropie	 philanthropy
Philatelie	 philately (stamp collecting)
Philerast	 philerast
Philharmonie	 philharmony, a philharmonic orchestra
Philippinenadler	 Philippine eagle
Phillumenie	 phillumeny
Phillumenist	 phillumenist
Philologe	 philologist (person who engages in philology)
Philologie	 philology
Philologin	 a female philologist
Philosoph	 philosopher
Philosophaster	 philosophaster (a pretender to philosophy; a petty or charlatan philosopher)
Philosophie	 philosophy, the study of thoughts
Philosophie	 philosophy, one's manner of thinking.
Philosophin	 philosopher (female philosopher)
Phlogiston	 phlogiston
Phobie	 phobia
Phonetik	 phonetics (study of speech sounds and their representation by written symbols)
