A positivo	 A positive (blood type)
gentio	 heathen
genuíno	 genuine; real; authentic
genética	 genetics
genético	 genetic
geodésico	 geodetic
geofísica	 geophysics
geofísico	 geophysical
geofísico	 geophysicist
geografia	 geography (study of physical structure and inhabitants of the Earth)
geograficamente	 geographically
geográfico	 geographic
geologia	 geology
geoquimicamente	 geochemically
geoquímico	 geochemical
georgiano	 Georgian (person from the country Georgia)
georgiano	 Georgian (of the country Georgia)
georgiano	 Georgian (person from the American state Georgia)
georgiano	 Georgian (of the country Georgia)
georgiano	 Georgian (of the reigns of Kings George I-IV of the UK (1714-1837))
gerado	 generated, created
gerador	 generative
gerador	 productive
gerador	 generator (something which generates)
gerador	 electrical generator
geral	 general (not specific or particular)
geral	 general (having supreme rank)
geral	 general; widespread
geral	 majority
geral	 leader of a religious order
geral	 the cheapest seats of a stage
geralmente	 generally
gerar	 to generate
geração	 age, generation
gerenciamento	 management
gerenciar	 To manage
gerente	 managing
gerir	 To manage, administer, govern
gerir	 To rule
germano	 German (member of a Germanic tribe)
germano	 a brother or sister with the same mother and father (as opposed to a stepbrother or sister)
germano	 legitimate; genuine
germe	 germ (embryo of a seed)
germe	 germ; microorganism
germe	 germ (idea that forms the basis of some project)
germânico	 Germanic
germânio	 germanium.
gerúndio	 gerund (verb form functioning as a verbal noun)
gesso	 gypsum (mineral)
gesso	 plaster (substance used for coating walls and ceilings)
gesso	 cast (device to help mend broken bones)
gesticular	 to gesticulate.
gesticulação	 gesticulation.
gesto	 gesture
gestão	 management
geógrafo	 geographer (a specialist in geography)
geómetra	 geometer
geómetra	 surveyor
giga	 flat basket
gigante	 giant (mythical human)
gigante	 giant (one of the Gigantes of Greek mythology)
gigante	 huge; gigantic
gigolô	 gigolo (male having sexual relationships for money)
ginasta	 gymnast
ginásio	 gym, gymnasium
ginásio	 secondary school
ginástica	 gymnastics
ginástico	 gymnastic
gipsita	 gypsum.
girafa	 giraffe
girassol	 sunflower (plant, flower)
girino	 tadpole
giroscópio	 gyroscope
giz	 chalk (a piece of chalk used for drawing and on a blackboard)
glacê	 glacé
glacê	 frosting
glamuroso	 glamourous
glauco	 glaucous (of a pale green colour with a bluish-grey tinge)
glossário	 glossary (list of words)
glossário	 gloss (brief note)
gládio	 gladius (Roman sword)
gládio	 sword
glândula pineal	 pineal gland
glândula	 gland
gnomo	 gnome
gnosticismo	 Gnosticism
godo	 Goth (member of the East Germanic tribe).
goiaba	 guava (fruit)
goiabeira	 guava tree
gola	 collar
gola	 cornice
golfe	 golf
golfinho	 dolphin
golfo	 gulf
golpe de estado	 coup d'état (the sudden overthrow of a government by a small group of people)
gongo	 gong (percussion instrument)
gorar	 To addle
gorar	 To miscarry
gordo	 Carrying a high amount of fat within one's body; fat.
gordura	 fat (specialized animal tissue with a high oil content, used for long-term storage of energy)
gordura	 fat (substance)
gorila	 gorilla.
gorjeio	 warble, twitter, chirrup, chirp (trill of birds)
gorjeta	 tip, gratuity
gorjeta	 gratification
gostando	 ''A form of verb gostarPortuguese|gostar''
gosto	 taste
gostoso	 tasteful; delicious
gota	 a drop
governador	 governor
governamental	 governmental
governante	 ruler, leader of a government
governar	 to govern
governo	 government
gozar	 To enjoy
gozar	 To come (ejaculate)
gracejar	 to jest
gracejo	 jest.
gracioso	 graceful
gradativo	 gradual
gradação	 gradation (change by gradual degrees)
gradeado	 latticed
gradiente	 gradient (rate of inclination or declination of a slope)
gradualmente	 gradually
graduar	 To graduate, calibrate
graduação	 graduation
grafite	 graphite
grama	 grass
grama	 gram (unit of mass)
gramatical	 grammatical
gramaticalmente	 grammatically
grampo	 clip, staple, holdfast (U-shaped)
gramática	 grammar
grana	 (Brazil slang) money, "cash"
granada	 pomegranate (fruit)
granada	 hand grenade (small explosive device)
granada	 shell (artillery)
granada	 garnet (mineral group)
grandíloquo	 grandiloquent
granel	 granary
granel	 bulk
granizo	 hail (balls of ice)
granulatura	 granulation
granulometria	 granulometry
granítico	 granitic
gratidão	 gratitude, gratefulness
gratificar	 To gratify
gratificar	 To reward
gratificação	 gratification
gratificação	 gratuity
gratuitamente	 As a gift; without being earned; freely.
gratuitamente	 Without cause; gratuitously.
gratuito	 free (as in price)
grau	 degree (of temperature)
grau	 academic degree
grau	 degree (of angle measure)
gravador	 tape recorder (an electromechanical device use to record and play back sound)
gravador	 engraver
gravador	 one who records in video or audio
gravar	 to engrave; to carve
gravata	 tie; necktie
gravação	 recording (an activity or result)
graveto	 stick; twig
graveto	 small bits of firewood, used to start a fire
gravidade	 gravitation
gravidade	 gravity (force on Earth's surface)
gravidade	 gravity; graveness
gravidade	 composure
gravidade	 the quality of having low pitch or tone
gravidez	 pregnancy
gravilha	 gravel
graviola	 soursop (fruit)
graviola	 soursop (plant)
gravitacionalmente	 gravitationally
gravitar	 to gravitate
gravura	 picture
gravura	 engraving
gravura	 gravure
graxo	 greasy
graça	 grace
graça	 joke
graça	 humor, funny side
grego	 Greek
grego	 Greek (inhabitant, etc., of Greece)
greva	 greave (leg armour)
greve	 strike (workers)
greve geral	 general strike
grifo	 griffin
gripal	 flulike
gripal	 flu (attributive)
gripe	 The flu, influenza.
grisalho	 gray or grayish brown
gritante	 Who screams; screaming.
gritante	 Very easily discovered, seen or understood; very blatant; very obvious.
gritar	 to shout, to scream
grito	 cry; shout; scream
groselha	 gooseberry (berry), especially redcurrant
groselha	 juice or syrup made with gooseberries
groselha	 having the colour of the redcurrant berry
grosseiro	 coarse (of inferior quality)
grosseiro	 impolite
grosso	 Relatively great in extent from one surface to another; dense; thick.
grosso	 Having consistency between solid and liquid; viscous; thick.
grosso	 Of low quality; crude; unrefined
grosso	 Offensive to morality; obscene; distasteful; vulgar.
grota	 An opening on the bank of a river used to flood fields
grudar	 glue, stick (to bind with glue)
grudar	 unite, bind
grupo	 group
gruta	 grotto (small cave)
gráfico	 graph; diagram
gráfico	 graphic; visual representation
gráfico	 printer (operator of a printing press or owner of a printing business)
gráfico	 graphic; drawn; pictorial
grávida	 pregnant, gravid
grávida	 pregnant woman
grânulo	 granule
grânulo	 grain
grão	 grain (harvested seeds of various grass-related food crops)
grão	 grain (single particle of a substance)
grão	 grain (unit of measure)
grão	 grand; great; grand-
grão-de-bico	 chickpea (plant or fruit)
guano	 fertilizer made from such feces
guaraná	 A guarana, a guarana tree.
guarda-chuva	 umbrella
guarda-costas	 bodyguard
guarda-roupa	 A wardrobe; the cabinet in which clothes may be stored.
guardanapo	 napkin
guardar	 To save, keep, retain, preserve
guardar	 To protect, defend
guardião	 guardian, guard, defender
guardião	 superior of a convent
guarnecer	 To garnish
guarnecer	 To strengthen
guarnição	 garrison
guarnição	 furniture and fittings (as a whole)
guepardo	 cheetah
guerra	 war
guerra civil	 A civil war
guerra mundial	 world war
guerra púnica	 Punic War
guerrear	 To wage war
guerrear	 To fight
guerreiro	 bellicose, warlike
guerreiro	 warrior
guia	 guide (person)
guia	 guide (written explanation)
guiar	 to lead; to guide; to direct
guiar	 to drive (a vehicle)
guiar	 to guide (supervise one's education)
guidom	 handlebar
guidão	 handlebar.
guilhotina	 guillotine (machine used for capital punishment)
guindado	 raised, elevated
guindar	 To raise, elevate, hang up
guitarra elétrica	 electric guitar
gula	 gluttony
guloso	 Prone to excessive eating; gluttonous.
gume	 edge (thin cutting side of the blade of an instrument)
gume	 acumen; acuteness
guri	 ''(Southern Brazilian regionalism)'' boy
gusa	 See ferro gusa
gustativo	 taste (attributive); gustatory
gálio	 Gaulish language.
gálio	 gallium.
gás	 gas
gás natural	 natural gas
gânglio	 ganglion
gémeo	 twin
gémeo	 twin
gíria	 jargon
gíria	 slang, argot, cant
gótico	 Gothic (an extinct Germanic language, once spoken by the Goths)
gótico	 Goth (member of Germanic tribe)
gótico	 goth (member of modern subculture)
gótico	 Gothic (of or relating to the Goths)
gótico	 Gothic (of or relating to the architectural style)
habilidade	 ability
habilidoso	 skilled
habilmente	 ably (with great ability)
habilíssimo	 very skilful; highly skilled
habitabilidade	 habitability
habitacional	 Referrent to habitation; habitational.
habitante	 inhabitant (someone or thing who lives in a place)
habitação	 habitation (the act of inhabitating)
habitação	 dwelling, residence
habitável	 habitable, inhabitable
haltere	 dumbbell (a weight with two disks attached to a short bar)
halterofilismo	 weightlifting
hambúrguer	 hamburger
handebol	 handball
handicap	 handicap, disadvantage
handicap	 advantage
harmonia	 harmony (pleasing arrangement of sounds)
harmonioso	 harmonious
harmonizar	 To harmonize
harmonização	 harmonization
harmónico	 harmonic
harpia	 harpy
hasta	 spear
hasta	 auction
haste	 pole
haver	 To happen; to occur.
haver	 To recover; to regain
haver	 outstanding debt
hebraico	 Hebrew (pertaining to the people)
hebraização	 Hebraization; Hebraisation.
hebreu	 Hebrew (person)
hediondo	 heinous
helicóptero	 helicopter (aircraft)
helmíntico	 helminthic
hematoencefálico	 hematoencephalic
hematócito	 hematocyte (blood cell)
hemisfera	 hemisphere
hemisfério	 hemisphere
hemocianina	 hemocyanin
hemocromatose	 hemochromatosis (metabolic disorder)
hemodiálise	 hemodialysis
hemolítico	 haemolytic
hemorragia	 hemorrhage (release of blood; bleeding)
hemossiderina	 hemosiderin
hemovanadina	 hemovanadin
hemácia	 blood cell (any of the cells normally found in the blood)
hemólise	 hemolysis
heptatlo	 heptathlon
heptágono	 heptagon
hera	 ivy (plant)
herança	 heritage, inheritance, legacy
herdar	 to inherit (receive property or a title by legal succession etc.)
herdar	 to inherit (receive a characteristic from one's ancestors by genetic transmission)
herdar	 to inherit (derive from people or conditions previously in force)
herdeiro	 heir, inheritor
herdeiro	 successor
hereditariedade	 heredity
hereditário	 hereditary
heresia	 heresy (dissension from religious dogma)
hermeticamente	 hermetically
hermético	 hermetic
heroína	 heroin
heroína	 heroine
heráldica	 heraldry (the profession of devising and blazoning arms)
heráldico	 heraldic
heráldico	 armorial
herói	 hero
heróico	 heroic
hesitar	 to hesitate
heterodoxo	 heterodox, unorthodox
heterogeneidade	 heterogeneity (a composition of diverse parts)
heterogêneo	 heterogeneous; diverse
heterossexual	 heterosexual
heterossexualidade	 heterosexuality
heteróclito	 eclectic
heteróclito	 heteroclite
hexaedro	 hexahedron
hexavalente	 hexavalent
hexágono	 hexagon
hiato	 interruption; pause
hibridizar	 To hybridize
hibridização	 hybridization
hidrargirismo	 mercurialism (mercury poisoning)
hidrargírio	 hydrargyrum  (mercury)
hidratado	 hydrated
hidratado	 hydrous
hidratar	 To hydrate
hidratação	 hydration
hidraulicamente	 hydraulically
hidrofluoração	 hydrofluoration, hydrofluorination
hidrofóbico	 hydrophobic
hidrogénio	 hydrogen.
hidrolisado	 hydrolysate
hidrologia	 hydrology
hidrossolúvel	 hydrosoluble
hidráulico	 hydraulic
hidrólise	 hydrolysis.
hiena	 hyena
hierarquia	 hierarchy
hierárquico	 hierarchical
hieróglifo	 hieroglyph
hifenização	 hyphenation
higroscopicidade	 hygroscopicity
hilariante	 hilarious
hindu	 Hindu
hindu	 Indian (of India)
hino	 hymn (a song of praise or worship)
hino	 anthem
hip hop	 hip-hop (urban youth culture)
hipernatremia	 hypernatremia (abnormally high concentration of sodium in blood plasma)
hipersensibilidade	 hypersensitivity
hipertexto	 hypertext (text for the Web)
hipismo	 horse racing
hipnose	 hypnosis (a trancelike state)
hipoalergênico	 hypoallergenic
hipocondria	 hypochondria, hypochondriasis (excessive fear of or preoccupation with a serious illness)
hipocrisia	 hypocrisy (claim, pretense, or false representation of holding beliefs, feelings, or virtues that one does not actually possess)
hipocrómico	 hypochromic
hipogrifo	 hippogriff
hipopotomonstrosesquipedaliofobia	 hippopotomonstrosesquipedaliophobia
hipopótamo	 hippopotamus.
hipoteca	 mortgage (special form of secured loan)
hipotecar	 To mortgage
hipotecar	 To hypothecate
hipotecário	 mortgage (attributive)
hipotenusa	 hypotenuse
hipotético	 hypothetical
hipérbole	 hyperbola.
hipérbole	 hyperbole.
hipótese	 hypothesis (tentative conjecture in science)
historicamente	 historically
história	 (História) history
história	 (história) story
história em quadrinhos	 comics
hoje em dia	 At the present time; nowadays.
holandês	 Dutch
holandês	 Dutchman
holofote	 searchlight
homem das cavernas	 caveman
homenagear	 To honor / honour
homenagem	 homage (demonstration of respect)
homenzinho	 little man
homenzinho	 young man
homeopatia	 homeopathy
homeostase	 homeostasis
homicídio	 homicide
hominídeo	 hominid
homogeneizar	 To homogenize
homogeneização	 homogenization
homossexual	 homosexual
homossexual	 homosexual
homossexualidade	 homosexuality
homossexualismo	 homosexualism
homónimo	 homonymous
homónimo	 homonym
honestamente	 honestly
honestidade	 honesty
honesto	 honest (scrupulous with regard to telling the truth)
honorário	 honorary
honorário	 titular, honorific
honorável	 honorable, respectable
honra	 honor; respect
honra	 honor (positive reputation)
honra	 honor (objectification of praiseworthiness)
honra	 honor; privilege
honra	 chastity (of a woman)
honrado	 honest, truthful
honrado	 honored
honrado	 honorable
honrar	 to honor
hora	 hour
horda	 horde
horizontalmente	 horizontally
horizonte	 horizon (line that appears to separate Earth from the sky)
hormónio	 hormone
hormônio	 hormone
horrivelmente	 horribly
horrível	 ause of horror; horrible; terrible.
horário	 timetable
horário	 schedule
horário	 hourly
hospedagem	 lodging
hospedagem	 accomodation
hospedagem	 hospitality
hospedagem	 inn
hospitalar	 hospital (attributive)
hospitalar	 To hospitalize
hospitaleiro	 hospitable (cordial and generous towards guests)
