100 mètres	 100 metres
mouillé	 wet, moist (covered with liquid)
mouillé	 wet, moist (of a woman, sexually excited)
mouise	 pap, porridge
mouise	 penury, poverty, hardship
moujik	A mujik.
moulage	 casting, moulding
mouler	 to mould
mouler	 to fit tightly (clothes)
moulin	 mill; windmill
moulin à poivre	 pepper mill
moulin à paroles	 chatterbox
moulin à café	 coffee grinder
moulin à vent	 windmill (structure)
mouliner	 To mill (all senses)
mouliner	 To grind
moulinette	 vegetable mill
moulure	 moulding (''UK''), molding (''US'')
moulut	 ''third-person singular past historic form of moudreFrench|moudre''
moulé	 moulded
mourant	 dying
mourant	 person who is die|dying
mourut	 ''third-person singular past historic form of mourirFrench|mourir''
mourvèdre	 A variety of black grape originally from Spain
mousquet	 musket (firearm)
mousquetaire	 musketeer
mousqueton	 carabiner (metal link with a gate)
mousquetonner	 to clip, clip in using a carabiner
mousse de savon	 lather
mousse	 blunt
mousse	 moss (the plant)
mousse	 foam 
mousse	 A boy serving on a ship: a cabin boy.
mousseline	 muslin
mousseron	 St George's mushroom (''Calocybe gambosa'')
mousseux	 foamy; frothy
mousson	 monsoon (extremely strong tropical wind)
mousson	 monsoon (tropical rainy season)
moussu	 mossy
moustache	 moustache, mustache
moustachu	 moustachioed
moustiquaire	 mosquito net
moustique	 mosquito
moustique	 gnat
moustérien	 Mousterian
moutarde	 mustard
moutardier	 mustard jar
moutonner	 (of sea) to be flecked (with white horses, white caps); to foam, froth
moutonner	 (of sky) to be flecked with fleecy clouds
mouture	 grinding (usually cereals)
mouture	 the fee charged for grinding
mouvance	 movement, trend
mouvant	 moving
mouvement	 movement
mouvementé	 eventful
mouvementé	 turbulent
moyen	 way, method of doing something
moyen	 medium
moyen	 middle
moyen	 average
moyen français	 Middle French (French language from the early 15th century to the early 17th century)
moyen irlandais	 the Middle Irish language
moyen néerlandais	 the Middle Dutch language
moyen breton	 Middle Breton (language)
moyen anglais	 Middle English 
moyen gallois	 Middle Welsh
moyen de transport	 means of transport|Means of transport
moyennant	 by means of
moyenne	 Feminine of moyen.
moyenne harmonique	 harmonic mean (type of average)
moyenâgeux	 antiquated, not suitable for modern times
moyeu	 hub (the central part of a wheel)
mozambicain	 Mozambican
mozarabe	 Mozarabic
mozarabe	 Mozarab
mozarabe	 Mozarabic (language, singular only)
moïse	 Moses basket
moût	 must (of grape, apple etc.)
moût	 wort (of hops, barley)
mua	 ''third-person singular past historic form of muerFrench|muer''
muablement	 mutably, changeably
mucosité	 mucus
mucoviscidose	 mucoviscidosis
mue	 moulting (''UK'') / molting (''US'') (of bird, mammal)
mue	 metamorphosis (of insect)
mue	 sloughing of skin (of reptile)
mue	 casting (of stag)
mue	 breaking of voice
muer	 to moult/molt
muer	 to change, to mutate
muet	 silent, mute, unspeaking
muet	 silent, unvoiced, unspoken
mufle	 muzzle
mufle	 boor (person)
mufle	 boorish
muflerie	 boorishness
mug	 A large cup, generally used to serve cold drinks, a mug.
mugir	 to moo
mugir	 To roar
mugissant	 mooing, lowing
mugissant	 roaring
mugissement	 bellowing
mugissement	 mooing, lowing
mugissement	 howling
mugissement	 roar
muguet	 lily of the valley (''Convallaria majalis'')
mulassier	 mule or donkey (attributive)
mulet	 (male) mule
mulet	 mullet (fish)
mulet	 mullet (hairstyle)
muletier	 muleteer
mulhousien	 of or from Mulhouse
mulot	 field mouse
multicoque	 multihull
multicoque	 multihulled
multicouche	 multilayer
multiculturalisme	 multiculturalism (societal idea)
multiculturel	 multicultural
multidisciplinaire	 multidisciplinary
multiethnique	 multiethnic
multifeuillet	 multilayer
multifonctionnalité	 multifunctionality
multifonctionnel	 multifunctional
multilatéral	 multilateral
multilatéralisme	 multilateralism
multilingue	 multilingual
multilinguisme	 multilingualism
multimilliardaire	 multibillionaire
multimillionnaire	 multimillionaire
multimètre	 multimeter
multimédia	 multimedia
multinationale	 a multinationalNoun|multinational
multiparité	 multiparity
multipartisme	 multipartyism
multiplexage	 multiplexing
multiplexer	 to multiplex
multiplicatif	 multiplicative
multiplicité	 multiplicity
multiplier	 to multiply
multipolaire	 multipolar
multipropriété	 timesharing
multirisque	 multirisk (type of insurance)
multirécidiviste	 multirecidivist, persistent offender
multirésistant	 multiresistant
multisalle	 multiplex (cinema etc)
multiscalaire	 multiscalar
multitouche	 multi-touch
multivarié	 multivariate
multivers	 multiverse (hypothetical group of all possible universes)
mulâtre	 mulatto
munichois	 of or from Munich
municipalement	 municipally
municipalité	 municipality
municipalité	 town council, city council
muqueuse	 mucosa, mucous membrane
muqueuse utérine	 endometrium
mur	 wall
mur mitoyen	 party wall (commonly shared wall)
muraille	 (large) wall
mural	 wall
murer	 To wall; wall off
murer	 To wall up
muret	 a low stone wall
murex	 Murex
murir	 To mature or ripen
murmure	 a murmur
murmurer	 to murmur
murène	 moray eel
musarder	 to dawdle
musc	 musk
muscade	 nutmeg
muscader	 to flavor with nutmeg
muscle	 muscleEnglish|muscle (contractile tissue, strength)
musclé	 muscled, muscly, muscular
musculaire	 muscular
musculature	 The collection of all the muscles in a single body
musculeux	 muscular
musculeux	 muscly
museau	 snout, muzzle (long, projecting nose, mouth and jaw of a beast)
muselet	 A wire cage that is used to clamp the cork of bottles of champagne or similar sparkling wines
muselière	 muzzle 
muserolle	 noseband (of a horse's bridle)
musette	 bagpipe
musical	 musical
musicalité	 musicality
musicien	 musician
musicographie	 musicography
musicologie	 musicology (study of music)
musicologue	 musicologist
musicothérapeute	 music therapist
musicothérapie	 music therapy
musique	 music
musique classique	 classical music
musiquer	 to make music
musiquette	 bland, familiar music
musoir	 pierhead
musqué	 musky
mussif	 mosaic (attributive)
mustélidé	 mustelid
musulman	 Muslim 
musulman	 Muslim
muséal	 museal, of museums
musée	 museumEnglish | museum
muséographie	 museography
muséographique	 museographic
muséologie	 museology
mutabilité	 mutability, impermanence
mutagenèse	 mutagenesis
mutagène	 mutagenic
muter	 to transfer
muter	 to mutate
mutiler	 to maim (to cause permanent loss)
mutiler	 to mutilate
mutiler	 to dismember (cut off a limb)
mutilé	 maimed, mutilated
mutin	 mutineer
mutin	 mutinous
mutin	 impish, mischievous - ''Elle eut un sourire '''mutin''''' - She gave a mischievous smile.
mutiner	 to mutiny
mutinerie	 mutiny
mutisme	 mutism, aphasia
mutisme	 muteness
mutisme	 stubborn or obstinate silence
mutualisation	 pooling (of resources)
mutualiser	 to pool (resources), to consolidate
mutualisme	 mutualism (interaction between two species that benefits both)
mutualité	 mutuality
mutuel	 reciprocal
mutuel	 mutual
mutuellement	 reciprocally; to each other
muté	 mutated
mycobactérie	 mycobacterium
mycorhizal	 mycorrhizal
mycorhizien	 mycorrhizal
mycotoxine	 mycotoxin
mycotoxique	 mycotoxic
mycélien	 mycelial
mycélium	 mycelium
mycénien	 Mycenean
myocarde	 myocardium
myocardique	 myocardial
myoclonie	 myoclonus
myome	 a myoma
myopathe	 myopathic
myopathie	 myopathy
myopathie	 muscular dystrophy
myope	 short-sighted
myope	 narrow-minded
myopie	 myopia, shortsightedness
myosotis	 forget-me-not
myriade	 myriad
myrmécophage	 myrmecophagous
myrmécophage	 myrmecophage
myrrhe	 myrrh (dried sap of the myrrha tree)
myrtiforme	 myrtiform
mysticisme	 mysticism
mystificateur	 hoaxer, practical joker
mystifier	 to mystify, fool
mystique	 mystic, one who practices mysticism
mystique	 mystic, mystical
mystiquement	 mystically
mystère	 mystery
mystérieusement	 mysteriously
mystérieux	 mysterious
mythe	 myth (story)
mythique	 mythic, mythical
mytho	 lie
mythographe	 mythographer
mythologie	 mythology (myths of a people)
mythologique	 mythological
mythomane	 mythomaniac
mythomanie	 mythomania
mytiliculture	 mussel farming
myxomatose	 myxomatosis
myxome	 myxoma
myxœdémateux	 myxedematous|Myxedematous; myxoedematous; myxœdematous.
myxœdémateux	 victim|Victim affected by a myxedema.
myéline	 myelin
myélinisation	 myelination
myélite	 myelitis
myélographie	 myelography
mâche	 A plant, ''Valerianella locusta'', corn salad, lamb's lettuce.
mâchefer	 clinker
mâchefer	 cinders
mâcher	 to chew
mâchoire	 jaw; jawbone
mâchonner	 To chew
mâchouiller	 to chew, chomp
mâle	 male (of a species)
mânes	 manes
mât	 flagstaff
mâter	 to mast (put a mast on a watercraft)
mâtin	 guard dog, watchdog, hound
mâtineau	 Young guard dog.
mâtiné	 crossbred
mâture	 masts (of a ship)
mèche	 wick (of candle)
mèche	 fuse (of a bomb)
mèche	 lock, tuft (of hair); streak (of colour etc in hair)
mèche	 (drill) bit
mère	 mother
mère porteuse	 surrogate mother
mère au foyer	 housewife
mètre	 metre/meter
mètre cube	 cubic metre (unit of volume)
mètre carré	 square metre, square meter (standard unit of area)
méandre	 meander (winding, crooked or involved course)
méandrer	 to meander (wind, turn or twist)
mébioctet	 mebibyte
mécanicien	 mechanic (a skilled worker capable of building or repairing machinery)
mécanique quantique	 quantum mechanics
mécanique	 mechanical
mécanique	 mechanic
mécanique	 mechanics (the science)
mécanique	 mechanics (the area of study)
mécaniquement	 mechanically
mécanisation	 mechanization
mécaniser	 to mechanize
mécanisme	 mechanism
mécaniste	 mechanistic
mécanisé	 mechanized
mécanographie	 mecanography
mécanothérapie	 mechanotherapy
mécanothérapique	 mechanotherapeutic
mécanothérapiste	 mechanotherapist
méchamment	 nastily; meanly; cruelly
méchanceté	 nastiness, malice
méchant	 evil, wicked
méchant	 baddie, villain (''in a story'')
méchoui	 spit-roasted sheep (whole animal)
mécompte	 miscalculation
mécompte	 disappointment
méconnaissable	 unrecognizable
méconnaissance	 unawareness.
méconnaître	 to not recognize or be unaware of
mécontent	 discontented
mécontent	 dissatisfied
mécontentement	 discontent
mécontenter	 to displease, disgruntle
mécréant	 atheistic
mécréant	 infidel
mécréant	 unbeliever
mécréant	 infidel
mécène	 patron (of arts)
mécénat	 sponsorship, patronage
médaille	 medal
médaille d'argent	 silver medal
médaille d'or	 gold medal
médaille de bronze	 bronze medal
médailleur	 medallist
médaillon	 medallion (large decorative medal)
médaillon	 medallion (cut of meat)
médecin	 medic; doctor
médecin traitant	 general practitioner (GP)
médecin légiste	 forensic scientist, medical examiner
médecin légiste	 coroner
médecine	 medicine (field of study)
médecine légale	 forensic pathology
média	 media
médian	 median, medial
médiateur	 a mediator
médiathèque	 media library
médiation	 mediation 
médiatique	 media (attributive), journalistic
médiatiquement	 in the media
médiatisation	 media coverage
médiatisation	 mediatization
médiatiser	 to mediatize
médiatiser	 to show to the media
médiatisé	 mediatized
médiatisé	 publicized
médiator	 a guitar pick, a plectrum
médical	 medical
médicalement	 medically
médicalisation	 medicalization
médicalisé	 medicalized
médicament	 drug, medication, medicine, pharmaceutical, prescription.
médicamenteux	 medicinal
médicamenté	 medicated
médication	 medication
médicinal	 medicinal
médicolégal	 forensic (relating to the use of science and technology in the investigation and establishment of facts or evidence in a court of law)
médicolégal	 medicolegal
médicosocial	 medical and social
médicéen	 Medician
médina	 medina (old town of arabic cities)
médiocre	 mediocre
médiocrité	 mediocrity
médique	 Median, Medean
médique	 Persian
médire	 to slander, to speak badly of
médisance	 scandal, scandalous gossip
médisant	 slanderous, defamatory
méditatif	 meditative, thoughtful
méditation	 meditation
méditerrané	 Mediterranean
méditerranéen	 Mediterranean (of or pertaining to the Mediterranean Sea and the region around it)
médium	 medium (a person who contacts the dead)
médiumnique	 mediumistic
médius	 middle finger
médiéval	 medieval (of or relating to the Middle Ages)
méduse	 jellyfish
méduser	 To dumbfound or stupefy
méfait	 A misdeed, wrong action by legal or moral standards
méfait	 Some damage, material harm
méfiance	 distrust (lack of trust or confidence)
méfiant	 wary
méforme	 lack of fitness, being out of shape
méga-ohm	 mega-ohm
mégabit	 megabit
mégachile	 leaf-cutter bee (of the family Megachilidae)
mégalithe	 megalith  
mégalithique	 megalithic
mégalomane	 megalomaniac
mégalomaniaque	 megalomaniac
mégalomanie	 megalomania (psychopathological condition characterized by delusional fantasies of wealth, power, or omnipotence)
mégalopole	 megalopolis (large conurbation)
mégaohm	 megaohm
mégaphone	 megaphone (portable device used to amplify a person's voice)
mégapole	 megalopolis
mégathérium	 megathere
mégatonne	 megaton (all senses)
mégawatt	 megawatt
mégissier	 tawer
mégohm	 megohm
mégot	 cigarette butt, fag end
mégoter	 to be stingy, to nitpick, to skimp
mégère	 shrew, vixen (ill-tempered woman)
méjuger	 To misjudge
mél	 An email message.
mélamine	 melamine
mélampyre	 cow-wheat (plant of genus ''Melampyrum'')
mélancolie	 melancholy (sadness or depression)
mélancolique	 melancholic
mélancoliquement	 gloomily, melancholically
mélange	 mixture, blend
mélangea	 ''third-person singular past historic form of mélangerFrench|mélanger''
mélanger	 to mix, to mix up
mélangeur	 mixer (device)
mélangeur	 mixer tap
mélanique	 melanic
mélanisme	 melanism
mélanésien	 Melanesian
mélasse	 molasses
mélasse	 treacle
méli-mélo	 mishmash, hodgepodge (a collection of miscellany)
mélilot	 melilot 
mélimélo	 mishmash, hodgepodge (a collection of miscellany)
